Day fraction since midnight on 10/27/2019,Time (seconds),Time (seconds since start),Coag Flow mL/s (),Water Flow mL/s (),Manual Water Pump Control (rpm),Manual Coagulant Pump Control (rpm),Fluoride Pump Control (),Turbidity ()
0.37717234,32587.69018,219.491424,0.0006587,0.6547413,0,0,0,-999
0.37718386,32588.6855,220.486752,0.0006587,0.6547413,0,0,0,-999
0.37719536,32589.6791,221.480352,0.0006587,0.6547413,0,0,0,-999
0.37720686,32590.6727,222.473952,0.0006587,0.6547413,0,0,0,-999
0.37721837,32591.66717,223.468416,0.0006587,0.6547413,0,0,0,-999
0.3772299,32592.66336,224.464608,0.0006587,0.6547413,0,0,0,-999
0.3772414,32593.65696,225.458208,0.0006587,0.6547413,0,0,0,-999
0.3772529,32594.65056,226.451808,0.0006587,0.6547413,0,0,0,-999
0.3772644,32595.64416,227.445408,0.0006587,0.6547413,0,0,0,-999
0.37727593,32596.64035,228.4416,0.0006587,0.6547413,0,0,0,-999
0.37728743,32597.63395,229.4352,0.0006587,0.6547413,0,0,0,-999
0.37729893,32598.62755,230.4288,0.0006587,0.6547413,0,0,0,-999
0.37731046,32599.62374,231.424992,0.0006587,0.6547413,0,0,0,-999
0.37732194,32600.61562,232.416864,0.0006587,0.6547413,0,0,0,-999
0.37733346,32601.61094,233.412192,0.0006587,0.6547413,0,0,0,-999
0.37734496,32602.60454,234.405792,0.0006587,0.6547413,0,0,0,-999
0.37735646,32603.59814,235.399392,0.0006587,0.6547413,0,0,0,-999
0.37736797,32604.59261,236.393856,0.0006587,0.6547413,0,0,0,-999
0.37737949,32605.58794,237.389184,0.0006587,0.6547413,0,0,0,-999
0.37739099,32606.58154,238.382784,0.0006587,0.6547413,0,0,0,-999
0.37740249,32607.57514,239.376384,0.0006587,0.6547413,0,0,0,-999
0.37741402,32608.57133,240.372576,0.0006587,0.6547413,0,0,0,-999
0.37742552,32609.56493,241.366176,0.0006587,0.6547413,0,0,0,-999
0.37743702,32610.55853,242.359776,0.0006587,0.6547413,0,0,0,-999
0.37744853,32611.55299,243.35424,0.0006587,0.6547413,0,0,0,-999
0.37746005,32612.54832,244.349568,0.0006587,0.6547413,0,0,0,-999
0.37747156,32613.54278,245.344032,0.0006587,0.6547413,0,0,0,-999
0.37748306,32614.53638,246.337632,0.0006587,0.6547413,0,0,0,-999
0.37749456,32615.52998,247.331232,0.0006587,0.6547413,0,0,0,-999
0.37750607,32616.52445,248.325696,0.0006587,0.6547413,0,0,0,-999
0.37751759,32617.51978,249.321024,0.0006587,0.6547413,0,0,0,-999
0.37752909,32618.51338,250.314624,0.0006587,0.6547413,0,0,0,-999
0.37754059,32619.50698,251.308224,0.0006587,0.6547413,0,0,0,-999
0.3775521,32620.50144,252.302688,0.0006587,0.6547413,0,0,0,-999
0.37756361,32621.4959,253.297152,0.0006587,0.6547413,0,0,0,-999
0.37757513,32622.49123,254.29248,0.0006587,0.6547413,0,0,0,-999
0.37758664,32623.4857,255.286944,0.0006587,0.6547413,0,0,0,-999
0.37759814,32624.4793,256.280544,0.0006587,0.6547413,0,0,0,-999
0.37760964,32625.4729,257.274144,0.0006587,0.6547413,0,0,0,-999
0.37762117,32626.46909,258.270336,0.0006587,0.6547413,0,0,0,-999
0.37763267,32627.46269,259.263936,0.0006587,0.6547413,0,0,0,-999
0.37764417,32628.45629,260.257536,0.0006587,0.6547413,0,0,0,-999
0.37765567,32629.44989,261.251136,0.0006587,0.6547413,0,0,0,-999
0.37766718,32630.44435,262.2456,0.0006587,0.6547413,0,0,0,-999
0.3776787,32631.43968,263.240928,0.0006587,0.6547413,0,0,0,-999
0.3776902,32632.43328,264.234528,0.0006587,0.6547413,0,0,0,-999
0.3777017,32633.42688,265.228128,0.0006587,0.6547413,0,0,0,-999
0.37771323,32634.42307,266.22432,0.0006587,0.6547413,0,0,0,-999
0.37772473,32635.41667,267.21792,0.0006587,0.6547413,0,0,0,-999
0.37773623,32636.41027,268.21152,0.0006587,0.6547413,0,0,0,-999
0.37774773,32637.40387,269.20512,0.0006587,0.6547413,0,0,0,-999
0.37775926,32638.40006,270.201312,0.0006587,0.6547413,0,0,0,-999
0.37777076,32639.39366,271.194912,0.0006587,0.6547413,0,0,0,-999
0.37778226,32640.38726,272.188512,0.0006587,0.6547413,0,0,0,-999
0.37779378,32641.38259,273.18384,0.0006587,0.6547413,0,0,0,-999
0.37780528,32642.37619,274.17744,0.0006587,0.6547413,0,0,0,-999
0.37781679,32643.37066,275.171904,0.0006587,0.6547413,0,0,0,-999
