Day fraction since midnight on 10/5/2019	Turbidity ()
0.56918151	-999.00000000
0.56987594	-999.00000000
Day fraction since midnight on 10/5/2019	Water Pump Control (rpm)	Coagulant Pump Control (rpm)	Turbidity ()
0.57057037	0.00000000	0.00000000	-999.00000000
0.57126482	0.00000000	0.00000000	-999.00000000
Day fraction since midnight on 10/5/2019
0.57195926
0.57262638
0.57329341
0.57396045
0.57462746
0.57529449
0.57598886
0.57668331
0.57737775
0.57807219
0.57876663
0.57946109
0.58015552
0.58084997
0.58154442
0.58223887
0.58293331
0.58362775
0.58432221
0.58501665
0.58571109
0.58640552
0.58709998
0.58779442
0.58848888
0.58918331
0.58987775
0.59057220
0.59126663
0.59196108
0.59265474
0.59334800
0.59404126
0.59473451
0.59542776
0.59612183
0.59681626
0.59751069
0.59820514
0.59889957
0.59959400
0.60028847
0.60098289
0.60167732
0.60237176
0.60306620
0.60376065
0.60445505
0.60514944
0.60584386
0.60653822
0.60723261
0.60792705
0.60862146
0.60931591
0.61001034
0.61070483
Day fraction since midnight on 10/5/2019	Water Pump Control (rpm)	Coagulant Pump Control (rpm)	Fluoride Pump Control ()
0.66683244	0.00000000	0.00000000	0.00000000	1.15966690
0.66684401	0.00000000	0.00000000	0.00000000	1.17832339
0.66685558	0.00000000	0.00000000	0.00000000	1.19664550
0.66686715	0.00000000	0.00000000	0.00000000	1.20144129
0.66687873	0.00000000	0.00000000	0.00000000	1.20651758
0.66689030	0.00000000	0.00000000	0.00000000	1.20393264
0.66690187	0.00000000	0.00000000	0.00000000	1.19654465
0.66691346	0.00000000	0.00000000	0.00000000	1.18679881
0.66692503	0.00000000	0.00000000	0.00000000	1.17898047
0.66693660	0.00000000	0.00000000	0.00000000	1.18352342
0.66694817	0.00000000	0.00000000	0.00000000	1.18708420
0.66695974	0.00000000	0.00000000	0.00000000	1.18838811
0.66697132	0.00000000	0.00000000	0.00000000	1.18748713
0.66698289	0.00000000	0.00000000	0.00000000	1.18781281
0.66699446	0.00000000	0.00000000	0.00000000	1.18233752
0.66700603	0.00000000	0.00000000	0.00000000	1.18679881
0.66701761	0.00000000	0.00000000	0.00000000	1.15267098
0.66702920	0.00000000	0.00000000	0.00000000	1.14337826
0.66704077	0.00000000	0.00000000	0.00000000	1.12782300
0.66705236	0.00000000	0.00000000	0.00000000	1.11137378
0.66706391	0.00000000	0.00000000	0.00000000	1.10206962
0.66707551	0.00000000	0.00000000	0.00000000	1.09375906
0.66708705	0.00000000	0.00000000	0.00000000	1.08506489
0.66709864	0.00000000	0.00000000	0.00000000	1.07718599
0.66711021	0.00000000	0.00000000	0.00000000	1.07443476
0.66712180	0.00000000	0.00000000	0.00000000	1.07468510
0.66713336	48.66000000	24.70125000	12.35250000	1.07763958
0.66714493	48.66000000	24.70125000	12.35250000	1.08339584
0.66715650	0.00000000	0.00000000	0.00000000	1.09063888
0.66716807	0.00000000	0.00000000	0.00000000	1.09729075
0.66717966	0.00000000	0.00000000	0.00000000	1.10312939
0.66719122	0.00000000	0.00000000	0.00000000	1.10916626
0.66720280	0.00000000	0.00000000	0.00000000	1.11945152
0.66721436	0.00000000	0.00000000	0.00000000	1.13977516
0.66722596	0.00000000	0.00000000	0.00000000	1.16692698
0.66723752	0.00000000	0.00000000	0.00000000	1.17672837
0.66724909	0.00000000	0.00000000	0.00000000	1.16943610
0.66726066	0.00000000	0.00000000	0.00000000	1.15353811
0.66727223	0.00000000	0.00000000	0.00000000	1.13644099
0.66728382	0.00000000	0.00000000	0.00000000	1.12335336
0.66729539	0.00000000	0.00000000	0.00000000	1.11697698
0.66730697	0.00000000	0.00000000	0.00000000	1.11571455
0.66731854	0.00000000	0.00000000	0.00000000	1.11370361
0.66733010	0.00000000	0.00000000	0.00000000	1.11269391
0.66734169	0.00000000	0.00000000	0.00000000	1.11255276
0.66735326	0.00000000	0.00000000	0.00000000	1.11525214
0.66736483	0.00000000	0.00000000	0.00000000	1.11996853
0.66737640	0.00000000	0.00000000	0.00000000	1.12321711
0.66738797	0.00000000	0.00000000	0.00000000	1.12501073
0.66739956	0.00000000	0.00000000	0.00000000	1.12790251
0.66741113	0.00000000	0.00000000	0.00000000	1.12385297
0.66742270	0.00000000	0.00000000	0.00000000	1.11396170
0.66743427	0.00000000	0.00000000	0.00000000	1.11710536
0.66744586	0.00000000	0.00000000	0.00000000	1.11636734
0.66745743	0.00000000	0.00000000	0.00000000	1.11499357
0.66746900	0.00000000	0.00000000	0.00000000	1.11195767
0.66748057	0.00000000	0.00000000	0.00000000	1.11170864
0.66749216	0.00000000	0.00000000	0.00000000	1.09847176
0.66750371	48.66000000	24.70125000	12.35250000	1.07880092
0.66751528	48.66000000	24.70125000	12.35250000	1.06403160
0.66752687	48.66000000	24.70125000	12.35250000	1.06675410
0.66753844	0.00000000	0.00000000	0.00000000	1.09317875
