Day fraction since midnight on 10/20/2019	Water Pump Control (rpm)	Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Just Water Pump Control (rpm)
0.38559935	0.00000000	0.00000000	0.00000000	0.15665692	0.00000000
0.38561092	0.00000000	0.00000000	0.00000000	0.18110894	0.00000000
0.38562251	0.00000000	0.00000000	0.00000000	0.18110894	0.00000000
0.38563408	0.00000000	0.00000000	0.00000000	0.18110894	0.00000000
0.38564564	0.00000000	0.00000000	0.00000000	0.18110894	0.00000000
0.38565724	0.00000000	0.00000000	0.00000000	0.18110894	0.00000000
0.38566880	0.00000000	0.00000000	0.00000000	0.18110894	0.00000000
0.38568037	0.00000000	0.00000000	0.00000000	0.18695304	0.00000000
0.38569194	0.00000000	0.00000000	0.00000000	0.18695304	0.00000000
0.38570353	0.00000000	0.00000000	0.00000000	0.18695304	0.00000000
0.38571510	0.00000000	0.00000000	0.00000000	0.18695304	0.00000000
0.38572667	0.00000000	0.00000000	0.00000000	0.18695304	0.00000000
0.38573824	0.00000000	0.00000000	0.00000000	0.18695304	0.00000000
0.38574981	0.00000000	0.00000000	0.00000000	0.18695304	0.00000000
0.38576140	0.00000000	0.00000000	0.00000000	0.19324429	0.00000000
0.38577297	0.00000000	0.00000000	0.00000000	0.19324429	0.00000000
0.38578454	0.00000000	0.00000000	0.00000000	0.19324429	0.00000000
0.38579611	0.00000000	0.00000000	0.00000000	0.19324429	0.00000000
0.38580770	0.00000000	0.00000000	0.00000000	0.19324429	0.00000000
0.38581927	0.00000000	0.00000000	0.00000000	0.19324429	0.00000000
0.38583083	0.00000000	0.00000000	0.00000000	0.19324429	0.00000000
0.38584240	0.00000000	0.00000000	0.00000000	0.20040818	0.00000000
0.38585399	0.00000000	0.00000000	0.00000000	0.20040818	0.00000000
0.38586556	0.00000000	0.00000000	0.00000000	0.20040818	0.00000000
0.38587713	0.00000000	0.00000000	0.00000000	0.20040818	0.00000000
0.38588870	0.00000000	0.00000000	0.00000000	0.20040818	0.00000000
0.38590029	0.00000000	0.00000000	0.00000000	0.20040818	0.00000000
0.38591185	0.00000000	0.00000000	0.00000000	0.20040818	0.00000000
0.38592342	0.00000000	0.00000000	0.00000000	0.20040818	0.00000000
0.38593501	0.00000000	0.00000000	0.00000000	0.20040818	0.00000000
0.38594658	0.00000000	0.00000000	0.00000000	0.20818628	0.00000000
0.38595815	0.00000000	0.00000000	0.00000000	0.20818628	0.00000000
0.38596972	0.00000000	0.00000000	0.00000000	0.20818628	0.00000000
0.38598131	0.00000000	0.00000000	0.00000000	0.20818628	0.00000000
0.38599287	0.00000000	0.00000000	0.00000000	0.20818628	0.00000000
0.38600444	0.00000000	0.00000000	0.00000000	0.20818628	0.00000000
0.38601603	0.00000000	0.00000000	0.00000000	0.21022049	0.00000000
0.38602761	0.00000000	0.00000000	0.00000000	0.21022049	0.00000000
0.38603917	0.00000000	0.00000000	0.00000000	0.21022049	0.00000000
0.38605074	0.00000000	0.00000000	0.00000000	0.21022049	0.00000000
0.38606231	0.00000000	0.00000000	0.00000000	0.21022049	0.00000000
0.38607432	0.00000000	0.00000000	0.00000000	0.21022049	0.00000000
0.38608549	0.00000000	0.00000000	0.00000000	0.21240000	0.00000000
0.38609703	0.00000000	0.00000000	0.00000000	0.21240000	0.00000000
0.38610863	0.00000000	0.00000000	0.00000000	0.21240000	0.00000000
0.38612020	0.00000000	0.00000000	0.00000000	0.21240000	0.00000000
0.38613176	0.00000000	0.00000000	0.00000000	0.21240000	0.00000000
0.38614333	0.00000000	0.00000000	0.00000000	0.21240000	0.00000000
0.38615492	0.00000000	0.00000000	0.00000000	0.21240000	0.00000000
0.38616649	0.00000000	0.00000000	0.00000000	0.21240000	0.00000000
0.38617808	0.00000000	0.00000000	0.00000000	0.21240000	0.00000000
0.38618963	0.00000000	0.00000000	0.00000000	0.21240000	0.00000000
0.38620122	0.00000000	0.00000000	0.00000000	0.21240000	0.00000000
0.38621278	0.00000000	0.00000000	0.00000000	0.21240000	0.00000000
0.38622435	0.00000000	0.00000000	0.00000000	0.21240000	0.00000000
0.38623592	0.00000000	0.00000000	0.00000000	0.21240000	0.00000000
0.38624751	0.00000000	0.00000000	0.00000000	0.21240000	0.00000000
0.38625908	0.00000000	0.00000000	0.00000000	0.21240000	0.00000000
