Day fraction since midnight on 10/27/2019	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()
0.37632846	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37634003	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37635162	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37636318	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37637475	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37638634	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37639791	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37640948	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37642105	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37643264	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37644421	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37645578	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37646734	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37647893	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37649050	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37650207	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37651366	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37652522	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37653681	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37654836	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37655995	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37657152	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37658309	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37659465	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37660624	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37661782	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37662938	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37664095	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37665254	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37666411	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37667570	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37668727	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
