PACl mL/s	Turbidity	Fluoride Voltage	Fluoride Conc
0.0039502	14.28866577	0.12890001	1.094730655
0.0039502	14.28866577	0.12875082	1.103145258
0.0039502	14.28866577	0.128107	1.140206081
0.0039502	14.28866577	0.12819345	1.135158213
0.0039502	14.28866577	0.12906493	1.085503524
0.0039502	15.60089874	0.1289954	1.089384147
0.0039502	15.60089874	0.12825674	1.131476845
0.0039502	15.60089874	0.12875582	1.102862203
0.0039502	15.60089874	0.12855688	1.114180609
0.0039502	15.60089874	0.12840532	1.122881289
0.0039502	15.92297935	0.12808026	1.141771987
0.0039502	15.92297935	0.1283288	1.127299889
0.0039502	15.92297935	0.12832361	1.127600212
0.0039502	15.92297935	0.12836419	1.125254159
0.0039502	15.92297935	0.12847538	1.118850907
0.0039502	16.09841728	0.12805314	1.143362342
0.0039502	16.09841728	0.1288259	1.098902548
0.0039502	16.09841728	0.12817274	1.136365443
0.0039502	16.09841728	0.12845047	1.120282259
0.0039502	16.09841728	0.12775475	1.161007305
0.0039502	16.20598221	0.1281496	1.137715842
0.0039502	16.20598221	0.12838708	1.123932972
0.0039502	16.20598221	0.12820862	1.134274735
0.0039502	16.20598221	0.12849699	1.117610658
0.0039502	16.20598221	0.12795255	1.149280453
0.0039502	14.71311188	0.12766294	1.166490976
0.0039502	14.71311188	0.12843159	1.121368341
0.0039502	14.71311188	0.12799974	1.146500272
0.0039502	14.71311188	0.1288465	1.097741314
0.0039502	14.71311188	0.12848184	1.118480008
0.0039502	14.72433472	0.12842445	1.121779348
0.0039502	14.72433472	0.12807108	1.142310067
0.0039502	14.72433472	0.12810919	1.140077929
0.0039502	14.72433472	0.12847501	1.118872154
0.0039502	14.72433472	0.12793781	1.150150235
0.0039502	13.11652565	0.12924752	1.075378462
0.0039502	13.11652565	0.12771347	1.163469699
0.0039502	13.11652565	0.1283026	1.128816785
0.0039502	13.11652565	0.12806618	1.142597382
0.0039502	13.11652565	0.12788241	1.153425186
0.0039502	14.64547348	0.12810591	1.14026987
0.0039502	14.64547348	0.12757254	1.171915736
0.0039502	14.64547348	0.1272839	1.189406008
0.0039502	14.64547348	0.12795623	1.149063405
0.0039502	14.64547348	0.12747028	1.178082611
0.0039502	15.55451965	0.12720066	1.194498297
0.0039502	15.55451965	0.12736326	1.184571298
0.0039502	15.55451965	0.12714465	1.197937029
0.0039502	15.55451965	0.12758876	1.170940546
0.0039502	15.55451965	0.12775078	1.161243893
0.0039502	14.42534828	0.1272662	1.190487002
0.0039502	14.42534828	0.1270622	1.203017063
0.0039502	14.42534828	0.12732957	1.186621329
0.0039502	14.42534828	0.12742268	1.180964227
0.0039502	14.42534828	0.12664737	1.228904927
0.0039502	15.26031303	0.12691972	1.21184659
0.0039502	15.26031303	0.12786314	1.154566509
0.0039502	15.26031303	0.12674886	1.222520326
0.0039502	15.26031303	0.12728377	1.189413944
0.0039502	15.26031303	0.12763199	1.168345403
0.0039502	13.2093029	0.12712449	1.199177172
0.0039502	13.2093029	0.12648842	1.23897133
0.0039502	13.2093029	0.12719807	1.194657092
0.0039502	13.2093029	0.12645498	1.241099583
0.0039502	13.2093029	0.12695819	1.209456226
0.0039502	12.03396797	0.12658724	1.232703344
0.0039502	12.03396797	0.12545756	1.306288101
0.0039502	12.03396797	0.12657192	1.233672985
0.0039502	12.03396797	0.12677683	1.220766609
0.0039502	12.03396797	0.12609607	1.264173491
0.0039502	13.19260979	0.12694316	1.210389565
0.0039502	13.19260979	0.12652953	1.23635993
0.0039502	13.19260979	0.12670606	1.225208763
0.0039502	13.19260979	0.12627147	1.252844122
0.0039502	13.19260979	0.12621187	1.256682348
0.0039502	13.80132675	0.1265948	1.232225134
0.0039502	13.80132675	0.12600407	1.270156823
0.0039502	13.80132675	0.12522779	1.321784058
0.0039502	13.80132675	0.12626806	1.253063409
0.0039502	13.80132675	0.12538435	1.311205646
0.0039502	12.93185043	0.12544791	1.306935239
0.0039502	12.93185043	0.12554787	1.300247342
0.0039502	12.93185043	0.12431807	1.384962553
0.0039502	12.93185043	0.12487674	1.345814989
0.0039502	12.93185043	0.12497658	1.338936382
0.0039502	12.37809753	0.12407234	1.402540193
0.0039502	12.37809753	0.1230237	1.480094154
0.0039502	12.37809753	0.12371676	1.428371382
0.0039502	12.37809753	0.12380397	1.421992293
0.0039502	12.37809753	0.1241398	1.397692525
0.0039502	13.36187553	0.12379394	1.422724498
0.0039502	13.36187553	0.12452426	1.370383393
0.0039502	13.36187553	0.12285022	1.493331363
0.0039502	13.36187553	0.12321547	1.465597849
0.0039502	13.36187553	0.12341237	1.45086147
0.0039502	13.46463776	0.12422618	1.391509723
0.0039502	13.46463776	0.12389584	1.415303153
0.0039502	13.46463776	0.12355165	1.440527048
0.0039502	13.46463776	0.12288605	1.490587726
0.0039502	13.46463776	0.12360414	1.436651475
0.0039502	11.91751862	0.12355547	1.440244648
0.0039502	11.91751862	0.12343386	1.449262112
0.0039502	11.91751862	0.12324128	1.463657686
0.0039502	11.91751862	0.12244171	1.524971799
0.0039502	11.91751862	0.12256853	1.515078076
0.0039502	13.05005264	0.12251571	1.519190947
0.0039502	13.05005264	0.12289426	1.489959766
0.0039502	13.05005264	0.12198615	1.561047709
0.0039502	13.05005264	0.12219686	1.544256657
0.0039502	13.05005264	0.12239323	1.52877096
0.0039502	14.4517765	0.12146175	1.603632957
0.0039502	14.4517765	0.12164569	1.588564958
0.0039502	14.4517765	0.12222479	1.542044571
0.0039502	14.4517765	0.12183863	1.572911815
0.0039502	14.4517765	0.12218909	1.544872613
0.0039502	14.4517765	0.12258129	1.51408618
0.0039502	12.84900093	0.12237536	1.530173738
0.0039502	12.84900093	0.1217005	1.584102472
0.0039502	12.84900093	0.12185919	1.571252911
0.0039502	12.84900093	0.12169945	1.584187842
0.0039502	12.84900093	0.12190409	1.567636191
0.0039502	12.6936512	0.12162279	1.590433137
0.0039502	12.6936512	0.12146834	1.603090657
0.0039502	12.6936512	0.12156788	1.594921643
0.0039502	12.6936512	0.12223357	1.54134984
0.0039502	12.6936512	0.12121356	1.624190967
0.0039502	12.63929176	0.12161393	1.591156524
0.0039502	12.63929176	0.12156456	1.595193435
0.0039502	12.63929176	0.12190618	1.567468043
0.0039502	12.63929176	0.12173122	1.581606814
0.0039502	12.63929176	0.12150589	1.600004113
0.0039502	11.77944374	0.12173358	1.581415253
0.0039502	11.77944374	0.12059966	1.676180674
0.0039502	11.77944374	0.12104262	1.638503289
0.0039502	11.77944374	0.12075385	1.662968249
0.0039502	11.77944374	0.12100629	1.64156131
0.0039502	12.49995995	0.120669	1.670226042
0.0039502	12.49995995	0.11987608	1.739599676
0.0039502	12.49995995	0.1175365	1.961544673
0.0039502	12.49995995	0.12040091	1.693366394
0.0039502	12.49995995	0.12132403	1.615008197
0.0039502	13.08830833	0.12124556	1.621525622
0.0039502	13.08830833	0.12136245	1.611826735
0.0039502	13.08830833	0.12233981	1.532968208
0.0039502	13.08830833	0.12204598	1.556261503
0.0039502	13.08830833	0.12192342	1.566081713
0.0039502	12.96102905	0.12295624	1.485227618
0.0039502	12.96102905	0.12352373	1.442592765
0.0039502	12.96102905	0.12365469	1.432928997
0.0039502	12.96102905	0.12422463	1.391620426
0.0039502	12.96102905	0.12289109	1.490202199
