Coagulant mL/s	Turbidity	Fluoride Voltage	Fluoride Conc
0.0026336	2.13764739	0.1207115	1.666586779
0.0026336	2.13764739	0.12140021	1.608706032
0.0026336	2.13764739	0.12083203	1.656308905
0.0026336	2.13764739	0.12158851	1.593233802
0.0026336	2.13764739	0.12117093	1.627748512
0.0026336	1.88238084	0.12142152	1.60694752
0.0026336	1.88238084	0.12101704	1.640655852
0.0026336	1.88238084	0.12130636	1.616473513
0.0026336	1.88238084	0.12108769	1.634717508
0.0026336	1.88238084	0.12106586	1.636550087
0.0026336	1.78926241	0.12140129	1.608616864
0.0026336	1.78926241	0.12055327	1.680176303
0.0026336	1.78926241	0.12093994	1.647160956
0.0026336	1.78926241	0.12183034	1.573581197
0.0026336	1.78926241	0.12098036	1.643747418
0.0026336	2.35487509	0.12140693	1.608151287
0.0026336	2.35487509	0.12217872	1.545695063
0.0026336	2.35487509	0.12111547	1.632388408
0.0026336	2.35487509	0.1220686	1.554455802
0.0026336	2.35487509	0.12159839	1.592426104
0.0026336	2.69799161	0.12215713	1.547408784
0.0026336	2.69799161	0.12164364	1.588732107
0.0026336	2.69799161	0.12188553	1.569130199
0.0026336	2.69799161	0.12177042	1.57842796
0.0026336	2.69799161	0.12167263	1.586370005
0.0026336	2.72511816	0.12318379	1.46798278
0.0026336	2.72511816	0.12227713	1.537907716
0.0026336	2.72511816	0.12200163	1.559807949
0.0026336	2.72511816	0.12154354	1.596915316
0.0026336	2.72511816	0.12244369	1.524816836
0.0026336	3.50706387	0.12208665	1.553016416
0.0026336	3.50706387	0.12224696	1.540290939
0.0026336	3.50706387	0.12213254	1.549362945
0.0026336	3.50706387	0.1226564	1.508260664
0.0026336	3.50706387	0.12224267	1.540630119
0.0026336	3.45955968	0.12227807	1.537833522
0.0026336	3.45955968	0.12194304	1.56450549
0.0026336	3.45955968	0.12208265	1.553335278
0.0026336	3.45955968	0.1225792	1.514248601
0.0026336	3.45955968	0.12154749	1.596591605
0.0026336	3.59899545	0.12185486	1.571602136
0.0026336	3.59899545	0.12179716	1.576263194
0.0026336	3.59899545	0.12272584	1.502894855
0.0026336	3.59899545	0.12204301	1.556498747
0.0026336	3.59899545	0.12219035	1.544772711
0.0026336	3.72963142	0.12242457	1.526313904
0.0026336	3.72963142	0.12197473	1.561962943
0.0026336	3.72963142	0.1219622	1.562967754
0.0026336	3.72963142	0.12231789	1.534693811
0.0026336	3.72963142	0.12249802	1.520570887
0.0026336	3.56802273	0.12238104	1.529727724
0.0026336	3.56802273	0.12227268	1.538259003
0.0026336	3.56802273	0.12292828	1.487360489
0.0026336	3.56802273	0.12272277	1.503131678
0.0026336	3.56802273	0.1228805	1.49101238
0.0026336	3.74702978	0.12246029	1.523518272
0.0026336	3.74702978	0.12275292	1.50080749
0.0026336	3.74702978	0.12278915	1.498019364
0.0026336	3.74702978	0.12270682	1.504362679
0.0026336	3.74702978	0.1231043	1.473984041
0.0026336	4.11389923	0.12213934	1.548822304
0.0026336	4.11389923	0.12292806	1.487377284
0.0026336	4.11389923	0.12308136	1.4757205
0.0026336	4.11389923	0.122912	1.488603786
0.0026336	4.11389923	0.12260877	1.511952231
0.0026336	3.50671911	0.12292454	1.48764602
0.0026336	3.50671911	0.12368723	1.430537871
0.0026336	3.50671911	0.12332486	1.457392507
0.0026336	3.50671911	0.12289961	1.489550702
0.0026336	3.50671911	0.12300526	1.481495607
0.0026336	3.1691916	0.12434785	1.382847342
0.0026336	3.1691916	0.12307453	1.476237897
0.0026336	3.1691916	0.12363621	1.434288736
0.0026336	3.1691916	0.12235054	1.53212422
0.0026336	3.1691916	0.12264361	1.509251068
0.0026336	2.70090055	0.12367108	1.431724117
0.0026336	2.70090055	0.12332412	1.457447859
0.0026336	2.70090055	0.12320453	1.466420995
0.0026336	2.70090055	0.12297076	1.484121196
0.0026336	2.70090055	0.12357041	1.439140714
0.0026336	3.00287867	0.12310422	1.473990093
0.0026336	3.00287867	0.12337527	1.453626732
0.0026336	3.00287867	0.123695	1.429967501
