Day fraction since midnight on 10/27/2019,Time (seconds),Time (seconds since start),Coag Flow mL/s (),Water Flow mL/s (),Turbidity ()
start expt w/o fluoride probe,,,,,
0.40777796,35232.01574,189.999648,0.001317,0.654083,0.05906431
0.40778956,35233.01798,191.001888,0.001317,0.654083,0.05906431
0.4078011,35234.01504,191.998944,0.001317,0.654083,0.06918751
0.40781267,35235.01469,192.998592,0.001317,0.654083,0.06918751
0.40782426,35236.01606,193.999968,0.001317,0.654083,0.06918751
0.40783583,35237.01571,194.999616,0.001317,0.654083,0.06918751
0.4078474,35238.01536,195.999264,0.001317,0.654083,0.06918751
0.40785899,35239.01674,197.00064,0.001317,0.654083,0.0671885
0.40787056,35240.01638,198.000288,0.001317,0.654083,0.0671885
0.40788213,35241.01603,198.999936,0.001317,0.654083,0.0671885
0.40789369,35242.01482,199.99872,0.001317,0.654083,0.0671885
0.40790526,35243.01446,200.998368,0.001317,0.654083,0.0671885
0.40791685,35244.01584,201.999744,0.001317,0.654083,0.06443478
0.40792842,35245.01549,202.999392,0.001317,0.654083,0.06443478
0.40793999,35246.01514,203.99904,0.001317,0.654083,0.06443478
0.40795158,35247.01651,205.000416,0.001317,0.654083,0.06443478
0.40796314,35248.0153,205.9992,0.001317,0.654083,0.06443478
0.40797472,35249.01581,206.999712,0.001317,0.654083,0.06088702
0.40798629,35250.01546,207.99936,0.001317,0.654083,0.06088702
0.40799788,35251.01683,209.000736,0.001317,0.654083,0.06088702
0.40800944,35252.01562,209.99952,0.001317,0.654083,0.06088702
0.40802101,35253.01526,210.999168,0.001317,0.654083,0.06088702
0.40803258,35254.01491,211.998816,0.001317,0.654083,0.05873258
0.40804417,35255.01629,213.000192,0.001317,0.654083,0.05873258
0.40805574,35256.01594,213.99984,0.001317,0.654083,0.05873258
0.40806731,35257.01558,214.999488,0.001317,0.654083,0.05873258
0.40807888,35258.01523,215.999136,0.001317,0.654083,0.05873258
0.40809045,35259.01488,216.998784,0.001317,0.654083,0.05739678
0.40810203,35260.01539,217.999296,0.001317,0.654083,0.05739678
0.40811362,35261.01677,219.000672,0.001317,0.654083,0.05739678
0.40812518,35262.01555,219.999456,0.001317,0.654083,0.05739678
0.40813678,35263.01779,221.001696,0.001317,0.654083,0.05739678
0.40814832,35264.01485,221.998752,0.001317,0.654083,0.05999925
0.40815989,35265.0145,222.9984,0.001317,0.654083,0.05999925
0.40817149,35266.01674,224.00064,0.001317,0.654083,0.05999925
0.40818306,35267.01638,225.000288,0.001317,0.654083,0.05999925
0.40819462,35268.01517,225.999072,0.001317,0.654083,0.05999925
0.40820622,35269.01741,227.001312,0.001317,0.654083,0.05802789
0.40821779,35270.01706,228.00096,0.001317,0.654083,0.05802789
0.40822934,35271.01498,228.99888,0.001317,0.654083,0.05802789
0.40824093,35272.01635,230.000256,0.001317,0.654083,0.05802789
0.4082525,35273.016,230.999904,0.001317,0.654083,0.05802789
0.40826407,35274.01565,231.999552,0.001317,0.654083,0.07395303
0.40827563,35275.01443,232.998336,0.001317,0.654083,0.07395303
0.40828722,35276.01581,233.999712,0.001317,0.654083,0.07395303
0.40829879,35277.01546,234.99936,0.001317,0.654083,0.07395303
0.40831036,35278.0151,235.999008,0.001317,0.654083,0.07395303
0.40832193,35279.01475,236.998656,0.001317,0.654083,0.07979789
0.40833353,35280.01699,238.000896,0.001317,0.654083,0.07979789
0.4083451,35281.01664,239.000544,0.001317,0.654083,0.07979789
0.40835666,35282.01542,239.999328,0.001317,0.654083,0.07979789
0.40836823,35283.01507,240.998976,0.001317,0.654083,0.07979789
0.40837981,35284.01558,241.999488,0.001317,0.654083,0.0788525
0.4083914,35285.01696,243.000864,0.001317,0.654083,0.0788525
0.40840297,35286.01661,244.000512,0.001317,0.654083,0.0788525
0.40841453,35287.01539,244.999296,0.001317,0.654083,0.0788525
0.4084261,35288.01504,245.998944,0.001317,0.654083,0.0788525
0.40843769,35289.01642,247.00032,0.001317,0.654083,0.07010122
0.40844926,35290.01606,247.999968,0.001317,0.654083,0.07010122
0.40846083,35291.01571,248.999616,0.001317,0.654083,0.07010122
0.4084724,35292.01536,249.999264,0.001317,0.654083,0.07010122
0.40848397,35293.01501,250.998912,0.001317,0.654083,0.07010122
0.40849554,35294.01466,251.99856,0.001317,0.654083,0.07707141
0.40850711,35295.0143,252.998208,0.001317,0.654083,0.07707141
0.4085187,35296.01568,253.999584,0.001317,0.654083,0.07707141
0.40853028,35297.01619,255.000096,0.001317,0.654083,0.07707141
0.40854187,35298.01757,256.001472,0.001317,0.654083,0.07707141
0.40855341,35299.01462,256.998528,0.001317,0.654083,0.10080829
0.40856501,35300.01686,258.000768,0.001317,0.654083,0.10080829
0.40857658,35301.01651,259.000416,0.001317,0.654083,0.10080829
0.40858817,35302.01789,260.001792,0.001317,0.654083,0.10080829
0.40859971,35303.01494,260.998848,0.001317,0.654083,0.10080829
0.4086113,35304.01632,262.000224,0.001317,0.654083,0.13714907
0.40862287,35305.01597,262.999872,0.001317,0.654083,0.13714907
0.40863444,35306.01562,263.99952,0.001317,0.654083,0.13714907
0.40864601,35307.01526,264.999168,0.001317,0.654083,0.13714907
0.40865758,35308.01491,265.998816,0.001317,0.654083,0.13714907
0.40866917,35309.01629,267.000192,0.001317,0.654083,0.11953599
0.40868074,35310.01594,267.99984,0.001317,0.654083,0.11953599
0.40869232,35311.01645,269.000352,0.001317,0.654083,0.11953599
0.40870389,35312.0161,270,0.001317,0.654083,0.11953599
0.40871545,35313.01488,270.998784,0.001317,0.654083,0.11953599
0.40872702,35314.01453,271.998432,0.001317,0.654083,0.11272856
0.40873862,35315.01677,273.000672,0.001317,0.654083,0.11272856
0.40875019,35316.01642,274.00032,0.001317,0.654083,0.11272856
0.40876176,35317.01606,274.999968,0.001317,0.654083,0.11272856
0.40877333,35318.01571,275.999616,0.001317,0.654083,0.11272856
0.4087849,35319.01536,276.999264,0.001317,0.654083,0.10992747
0.40879647,35320.01501,277.998912,0.001317,0.654083,0.10992747
0.40880806,35321.01638,279.000288,0.001317,0.654083,0.10992747
0.40881963,35322.01603,279.999936,0.001317,0.654083,0.10992747
0.4088312,35323.01568,280.999584,0.001317,0.654083,0.10992747
0.40884276,35324.01446,281.998368,0.001317,0.654083,0.1599817
0.40885436,35325.0167,283.000608,0.001317,0.654083,0.1599817
0.40886593,35326.01635,284.000256,0.001317,0.654083,0.1599817
0.4088775,35327.016,284.999904,0.001317,0.654083,0.1599817
0.40888907,35328.01565,285.999552,0.001317,0.654083,0.1599817
0.40890063,35329.01443,286.998336,0.001317,0.654083,0.1789736
0.40891223,35330.01667,288.000576,0.001317,0.654083,0.1789736
0.4089238,35331.01632,289.000224,0.001317,0.654083,0.1789736
0.40893537,35332.01597,289.999872,0.001317,0.654083,0.1789736
0.40894693,35333.01475,290.998656,0.001317,0.654083,0.1789736
0.40895853,35334.01699,292.000896,0.001317,0.654083,0.24934469
0.40897009,35335.01578,292.99968,0.001317,0.654083,0.24934469
0.40898166,35336.01542,293.999328,0.001317,0.654083,0.24934469
0.40899323,35337.01507,294.998976,0.001317,0.654083,0.24934469
0.4090048,35338.01472,295.998624,0.001317,0.654083,0.24934469
0.4090164,35339.01696,297.000864,0.001317,0.654083,0.28154609
0.40902796,35340.01574,297.999648,0.001317,0.654083,0.28154609
0.40903953,35341.01539,298.999296,0.001317,0.654083,0.28154609
0.4090511,35342.01504,299.998944,0.001317,0.654083,0.28154609
0.40906267,35343.01469,300.998592,0.001317,0.654083,0.28154609
0.40907424,35344.01434,301.99824,0.001317,0.654083,0.28432569
0.40908583,35345.01571,302.999616,0.001317,0.654083,0.28432569
0.4090974,35346.01536,303.999264,0.001317,0.654083,0.28432569
0.40910897,35347.01501,304.998912,0.001317,0.654083,0.28432569
0.40912056,35348.01638,306.000288,0.001317,0.654083,0.28432569
0.40913213,35349.01603,306.999936,0.001317,0.654083,0.28751966
0.4091437,35350.01568,307.999584,0.001317,0.654083,0.28751966
0.40915527,35351.01533,308.999232,0.001317,0.654083,0.28751966
0.40916684,35352.01498,309.99888,0.001317,0.654083,0.28751966
0.40917841,35353.01462,310.998528,0.001317,0.654083,0.28751966
0.40919,35354.016,311.999904,0.001317,0.654083,0.28609082
