Day fraction since midnight on 10/27/2019	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	new set point ()
0.45111128	-0.99934170	-0.63110000	NaN	0.00000000	0.00000000	-999.00000000	NaN
0.45112285	-0.99934170	-0.63110000	NaN	0.00000000	0.00000000	-999.00000000	NaN
0.45113442	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03592904	NaN
0.45114601	-0.99934170	-0.63110000	NaN	0.00000000	0.00000000	-999.00000000	NaN
0.45115757	-0.99934170	-0.63110000	NaN	0.00000000	0.00000000	-999.00000000	NaN
0.45116915	-0.99934170	-0.63110000	NaN	0.00000000	0.00000000	-999.00000000	NaN
0.45118071	-0.99934170	-0.63110000	NaN	0.00000000	0.00000000	-999.00000000	NaN
0.45119230	-0.99934170	-0.63110000	NaN	0.00000000	0.00000000	-999.00000000	NaN
0.45120387	-0.99934170	-0.63110000	NaN	0.00000000	0.00000000	-999.00000000	NaN
0.45121544	-0.99934170	-0.63110000	NaN	0.00000000	0.00000000	-999.00000000	NaN
0.45122702	-0.99934170	-0.63110000	NaN	0.00000000	0.00000000	-999.00000000	NaN
0.45123858	-0.99934170	-0.63110000	NaN	0.00000000	0.00000000	-999.00000000	NaN
0.45125017	-0.99934170	-0.63110000	NaN	0.00000000	0.00000000	-999.00000000	NaN
0.45126174	-0.99934170	-0.63110000	0.00000000	0.00000000	0.00000000	-999.00000000	NaN
0.45127334	-0.99934170	-0.63110000	0.00000000	0.00000000	0.00000000	-999.00000000	NaN
0.45128488	-0.99934170	-0.63110000	0.00000000	0.00000000	0.00000000	-999.00000000	NaN
0.45129647	-0.99934170	-0.63110000	0.00000000	0.00000000	0.00000000	-999.00000000	NaN
0.45130804	-0.99934170	-0.63110000	0.00000000	0.00000000	0.00000000	-999.00000000	NaN
0.45131962	-0.99934170	-0.63110000	0.00000000	0.00000000	0.00000000	-999.00000000	NaN
0.45133119	-0.99934170	-0.63110000	0.00000000	0.00000000	0.00000000	-999.00000000	NaN
0.45134276	-0.99934170	-0.63110000	0.00000000	0.00000000	0.00000000	-999.00000000	NaN
0.45135433	-0.99934170	-0.63110000	0.00000000	0.00000000	0.00000000	-999.00000000	NaN
0.45136590	-0.99934170	-0.63110000	0.00000000	0.00000000	0.00000000	-999.00000000	NaN
0.45137749	-0.99934170	-0.63110000	0.00000000	0.00000000	0.00000000	-999.00000000	NaN
0.45138906	-0.99934170	-0.63110000	0.00000000	0.00000000	0.00000000	-999.00000000	NaN
0.45140063	-0.99934170	-0.63110000	0.00000000	0.00000000	0.00000000	-999.00000000	NaN
0.45141220	-0.99934170	-0.63110000	0.00000000	0.00000000	0.00000000	-999.00000000	NaN
