Day fraction since midnight on 11/3/2019,Time (seconds),Time Elapsed (seconds),Fluoride Probe (volts),Coag Flow mL/s (),Water Flow mL/s (),Manual Water Pump Control (rpm),Manual Coagulant Pump Control (rpm),Fluoride Pump Control (),Turbidity ()
start expt,,,,,,,,,
0.50,43195.79837,164.99808,0.1807193,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26909244
0.50,43196.79974,165.999456,0.18195176,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26909244
0.50,43197.79853,166.99824,0.17850533,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26909244
0.50,43198.79818,167.997888,0.18121333,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.28274003
0.50,43199.79782,168.997536,0.18082495,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.28274003
0.50,43200.7992,169.998912,0.17889619,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.28274003
0.50,43201.79885,170.99856,0.18123934,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.28274003
0.50,43202.7985,171.998208,0.18064769,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.28274003
0.50,43203.79987,172.999584,0.17947276,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27594233
0.50,43204.79952,173.999232,0.18023477,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27594233
0.50,43205.79917,174.99888,0.18036048,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27594233
0.50,43206.80054,176.000256,0.17924419,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27594233
0.50,43207.79933,176.99904,0.18045262,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27594233
0.50,43208.79898,177.998688,0.17975529,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26851174
0.50,43209.79862,178.998336,0.17943016,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26851174
0.50,43210.8,179.999712,0.18104868,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26851174
0.50,43211.79965,180.99936,0.17933619,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26851174
0.50,43212.7993,181.999008,0.18179587,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26851174
0.50,43213.79894,182.998656,0.17936718,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26978621
0.50,43214.79859,183.998304,0.18125963,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26978621
0.50,43215.79997,184.99968,0.179581,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26978621
0.50,43216.79962,185.999328,0.17944677,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26978621
0.50,43217.7984,186.998112,0.1819804,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26978621
0.50,43218.79805,187.99776,0.17859164,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27038661
0.50,43219.79942,188.999136,0.18113787,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27038661
0.50,43220.79907,189.998784,0.18137477,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27038661
0.50,43221.79872,190.998432,0.1795315,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27038661
0.50,43222.79837,191.99808,0.18020986,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27038661
0.50,43223.79802,192.997728,0.17822276,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26487342
0.50,43224.79939,193.999104,0.17940681,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26487342
0.50,43225.79904,194.998752,0.17948897,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26487342
0.50,43226.79869,195.9984,0.17959738,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26487342
0.50,43227.79834,196.998048,0.18092886,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26487342
0.50,43228.79798,197.997696,0.17965499,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26111352
0.50,43229.79936,198.999072,0.17863777,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26111352
0.50,43230.79901,199.99872,0.18128598,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26111352
0.50,43231.79866,200.998368,0.17854083,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26111352
0.50,43232.79744,201.997152,0.17940298,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26111352
0.50,43233.79882,202.998528,0.18002965,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26151231
0.50,43234.79933,203.99904,0.17935033,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26151231
0.50,43235.79811,204.997824,0.18052681,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26151231
0.50,43236.79776,205.997472,0.17787804,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26151231
0.50,43237.79914,206.998848,0.17895451,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26151231
0.50,43238.79878,207.998496,0.17886376,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27262631
0.50,43239.79843,208.998144,0.18022321,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27262631
0.50,43240.79981,209.99952,0.18007997,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27262631
0.50,43241.79859,210.998304,0.17772193,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27262631
0.50,43242.79824,211.997952,0.17924388,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27262631
0.50,43243.79789,212.9976,0.17882617,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26959306
0.50,43244.79926,213.998976,0.17994265,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26959306
0.50,43245.79891,214.998624,0.18047048,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26959306
0.50,43246.79856,215.998272,0.17724206,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26959306
0.50,43247.79821,216.99792,0.1789576,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26959306
0.50,43248.79958,217.999296,0.17810822,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26728591
0.50,43249.79923,218.998944,0.17638995,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26728591
0.50,43250.80061,220.00032,0.17934406,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26728591
0.50,43251.79853,220.99824,0.17804888,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26728591
0.50,43252.79818,221.997888,0.17850579,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26728591
0.50,43253.79782,222.997536,0.17851301,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26189822
0.50,43254.7992,223.998912,0.17708568,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26189822
0.50,43255.79885,224.99856,0.17905021,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26189822
0.50,43256.7985,225.998208,0.18018894,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26189822
0.50,43257.79814,226.997856,0.17759408,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26189822
0.50,43258.79779,227.997504,0.17877068,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27280015
0.50,43259.79917,228.99888,0.17937793,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27280015
0.50,43260.79882,229.998528,0.17994277,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27280015
0.50,43261.79846,230.998176,0.17888281,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27280015
0.50,43262.79811,231.997824,0.17641596,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27280015
0.50,43263.79949,232.9992,0.17842151,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26578438
0.50,43264.79914,233.998848,0.17984821,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26578438
0.50,43265.79878,234.998496,0.17945009,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26578438
0.50,43266.79757,235.99728,0.17950064,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26578438
0.50,43267.79894,236.998656,0.17725535,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26578438
0.50,43268.79859,237.998304,0.17994122,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26104683
0.50,43269.79824,238.997952,0.18002532,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26104683
0.50,43270.79962,239.999328,0.17685975,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26104683
0.50,43271.79926,240.998976,0.18028887,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26104683
0.50,43272.79805,241.99776,0.17914708,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26104683
0.50,43273.7977,242.997408,0.17782062,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26417866
