Day fraction since midnight on 10/20/2019,Time (seconds),Time since start (seconds),Water Pump Control (rpm),Coagulant Pump Control (rpm),Fluoride Pump Control (),Turbidity (),Just Water Pump Control (rpm)
start 1st expt 10,,,,,,,
0.45858947,39622.13021,205.000416,37.4325,19.00125,9.5025,0.20007837,60
0.45860104,39623.12986,206.000064,37.4325,19.00125,9.5025,0.20007837,60
0.45861261,39624.1295,206.999712,37.4325,19.00125,9.5025,0.20007837,60
0.45862417,39625.12829,207.998496,37.4325,19.00125,9.5025,0.20007837,60
0.45863576,39626.12966,208.999872,37.4325,19.00125,9.5025,0.20007837,60
0.45864733,39627.12931,209.99952,37.4325,19.00125,9.5025,0.20007837,60
0.4586589,39628.12896,210.999168,37.4325,19.00125,9.5025,0.19536848,60
0.45867049,39629.13034,212.000544,37.4325,19.00125,9.5025,0.19536848,60
0.45868205,39630.12912,212.999328,37.4325,19.00125,9.5025,0.19536848,60
0.45869362,39631.12877,213.998976,37.4325,19.00125,9.5025,0.19536848,60
0.45870521,39632.13014,215.000352,37.4325,19.00125,9.5025,0.19536848,60
0.45871678,39633.12979,216,37.4325,19.00125,9.5025,0.19536848,60
0.45872835,39634.12944,216.999648,37.4325,19.00125,9.5025,0.1930649,60
0.45873994,39635.13082,218.001024,37.4325,19.00125,9.5025,0.1930649,60
0.45875151,39636.13046,219.000672,37.4325,19.00125,9.5025,0.1930649,60
0.45876307,39637.12925,219.999456,37.4325,19.00125,9.5025,0.1930649,60
0.45877466,39638.13062,221.000832,37.4325,19.00125,9.5025,0.1930649,60
0.45878623,39639.13027,222.00048,37.4325,19.00125,9.5025,0.19270882,60
0.4587978,39640.12992,223.000128,37.4325,19.00125,9.5025,0.19270882,60
0.45880937,39641.12957,223.999776,37.4325,19.00125,9.5025,0.19270882,60
0.45882094,39642.12922,224.999424,37.4325,19.00125,9.5025,0.19270882,60
0.45883253,39643.13059,226.0008,37.4325,19.00125,9.5025,0.19270882,60
0.4588441,39644.13024,227.000448,37.4325,19.00125,9.5025,0.19270882,60
0.45885566,39645.12902,227.999232,37.4325,19.00125,9.5025,0.18917207,60
0.45886723,39646.12867,228.99888,37.4325,19.00125,9.5025,0.18917207,60
0.45887882,39647.13005,230.000256,37.4325,19.00125,9.5025,0.18917207,60
0.45889039,39648.1297,230.999904,37.4325,19.00125,9.5025,0.18917207,60
0.45890198,39649.13107,232.00128,37.4325,19.00125,9.5025,0.18917207,60
0.45891355,39650.13072,233.000928,37.4325,19.00125,9.5025,0.18578553,60
0.45892511,39651.1295,233.999712,37.4325,19.00125,9.5025,0.18578553,60
0.45893669,39652.13002,235.000224,37.4325,19.00125,9.5025,0.18578553,60
0.45894825,39653.1288,235.999008,37.4325,19.00125,9.5025,0.18578553,60
0.45895982,39654.12845,236.998656,37.4325,19.00125,9.5025,0.18578553,60
0.45897141,39655.12982,238.000032,37.4325,19.00125,9.5025,0.18578553,60
0.45898298,39656.12947,238.99968,37.4325,19.00125,9.5025,0.182886,60
0.45899455,39657.12912,239.999328,37.4325,19.00125,9.5025,0.182886,60
0.45900614,39658.1305,241.000704,37.4325,19.00125,9.5025,0.182886,60
0.4590177,39659.12928,241.999488,37.4325,19.00125,9.5025,0.182886,60
0.45902927,39660.12893,242.999136,37.4325,19.00125,9.5025,0.182886,60
0.45904084,39661.12858,243.998784,37.4325,19.00125,9.5025,0.182886,60
0.45905243,39662.12995,245.00016,37.4325,19.00125,9.5025,0.18103914,60
0.459064,39663.1296,245.999808,37.4325,19.00125,9.5025,0.18103914,60
0.45907557,39664.12925,246.999456,37.4325,19.00125,9.5025,0.18103914,60
0.45908716,39665.13062,248.000832,37.4325,19.00125,9.5025,0.18103914,60
0.45909872,39666.12941,248.999616,37.4325,19.00125,9.5025,0.18103914,60
0.45911029,39667.12906,249.999264,37.4325,19.00125,9.5025,0.18103914,60
0.45912186,39668.1287,250.998912,37.4325,19.00125,9.5025,0.1813935,60
0.45913345,39669.13008,252.000288,37.4325,19.00125,9.5025,0.1813935,60
0.45914502,39670.12973,252.999936,37.4325,19.00125,9.5025,0.1813935,60
0.45915659,39671.12938,253.999584,37.4325,19.00125,9.5025,0.1813935,60
0.45916818,39672.13075,255.00096,37.4325,19.00125,9.5025,0.1813935,60
0.45917975,39673.1304,256.000608,37.4325,19.00125,9.5025,0.17868429,60
0.45919131,39674.12918,256.999392,37.4325,19.00125,9.5025,0.17868429,60
0.45920289,39675.1297,257.999904,37.4325,19.00125,9.5025,0.17868429,60
0.45921446,39676.12934,258.999552,37.4325,19.00125,9.5025,0.17868429,60
0.45922605,39677.13072,260.000928,37.4325,19.00125,9.5025,0.17868429,60
0.45923761,39678.1295,260.999712,37.4325,19.00125,9.5025,0.17868429,60
0.45924918,39679.12915,261.99936,37.4325,19.00125,9.5025,0.17879766,60
0.45926075,39680.1288,262.999008,37.4325,19.00125,9.5025,0.17879766,60
0.45927233,39681.12931,263.99952,37.4325,19.00125,9.5025,0.17879766,60
0.45928392,39682.13069,265.000896,37.4325,19.00125,9.5025,0.17879766,60
0.45929549,39683.13034,266.000544,37.4325,19.00125,9.5025,0.17879766,60
0.45930706,39684.12998,267.000192,37.4325,19.00125,9.5025,0.18169039,60
0.45931862,39685.12877,267.998976,37.4325,19.00125,9.5025,0.18169039,60
0.45933021,39686.13014,269.000352,37.4325,19.00125,9.5025,0.18169039,60
0.45934178,39687.12979,270,37.4325,19.00125,9.5025,0.18169039,60
0.45935335,39688.12944,270.999648,37.4325,19.00125,9.5025,0.18169039,60
0.45936492,39689.12909,271.999296,37.4325,19.00125,9.5025,0.18169039,60
0.45937651,39690.13046,273.000672,37.4325,19.00125,9.5025,0.17815529,60
0.45938807,39691.12925,273.999456,37.4325,19.00125,9.5025,0.17815529,60
0.45939966,39692.13062,275.000832,37.4325,19.00125,9.5025,0.17815529,60
0.45941123,39693.13027,276.00048,37.4325,19.00125,9.5025,0.17815529,60
0.4594228,39694.12992,277.000128,37.4325,19.00125,9.5025,0.17815529,60
0.45943437,39695.12957,277.999776,37.4325,19.00125,9.5025,0.17743185,60
0.45944593,39696.12835,278.99856,37.4325,19.00125,9.5025,0.17743185,60
0.45945753,39697.13059,280.0008,37.4325,19.00125,9.5025,0.17743185,60
0.45946909,39698.12938,280.999584,37.4325,19.00125,9.5025,0.17743185,60
0.45948066,39699.12902,281.999232,37.4325,19.00125,9.5025,0.17743185,60
0.45949225,39700.1304,283.000608,37.4325,19.00125,9.5025,0.17743185,60
0.45950382,39701.13005,284.000256,37.4325,19.00125,9.5025,0.17813413,60
0.45951538,39702.12883,284.99904,37.4325,19.00125,9.5025,0.17813413,60
0.45952695,39703.12848,285.998688,37.4325,19.00125,9.5025,0.17813413,60
0.45953854,39704.12986,287.000064,37.4325,19.00125,9.5025,0.17813413,60
0.45955011,39705.1295,287.999712,37.4325,19.00125,9.5025,0.17813413,60
0.45956168,39706.12915,288.99936,37.4325,19.00125,9.5025,0.17745496,60
0.45957327,39707.13053,290.000736,37.4325,19.00125,9.5025,0.17745496,60
0.45958483,39708.12931,290.99952,37.4325,19.00125,9.5025,0.17745496,60
0.4595964,39709.12896,291.999168,37.4325,19.00125,9.5025,0.17745496,60
0.45960797,39710.12861,292.998816,37.4325,19.00125,9.5025,0.17745496,60
0.45961956,39711.12998,294.000192,37.4325,19.00125,9.5025,0.17745496,60
0.45963113,39712.12963,294.99984,37.4325,19.00125,9.5025,0.18251589,60
0.4596427,39713.12928,295.999488,37.4325,19.00125,9.5025,0.18251589,60
0.45965427,39714.12893,296.999136,37.4325,19.00125,9.5025,0.18251589,60
0.45966586,39715.1303,298.000512,37.4325,19.00125,9.5025,0.18251589,60
0.45967743,39716.12995,299.00016,37.4325,19.00125,9.5025,0.18251589,60
