Day fraction since midnight on 11/3/2019	Fluoride Probe (volts)	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()
0.42108124	0.27042457	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42109281	0.24582765	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42110439	0.23454311	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42111595	0.24246822	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42112752	0.30440113	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42113912	0.40357345	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42115068	0.35182238	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42116225	0.37288928	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42117382	0.31476983	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42118541	0.26703849	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42119698	0.28624690	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42120855	0.34592894	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42122014	0.32192343	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42123171	0.31186822	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42124328	0.28600836	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42125485	0.25700283	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42126642	0.26588392	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42127801	0.26268804	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42128958	0.28349295	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
