Day fraction since midnight on 11/11/2019	Time (seconds)	Time Elapsed (seconds)	Fluoride Probe (volts)	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Capture Velocity Pump ()	Effluent Fluoride Concentration (mg/L)	Flocculated Fluoride (mg/L)
Start expt!												
0.65781268	56835.01555	91.002528	0.10434264	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01946157	0.50307692	0.422651611	4.577348389
0.65782425	56836.0152	92.002176	0.10562894	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01946157	0.50307692	0.449855499	4.550144501
0.65783582	56837.01485	93.001824	0.10514416	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01946157	0.50307692	0.439403164	4.560596836
0.65784739	56838.0145	94.001472	0.10438423	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01946157	0.50307692	0.423504907	4.576495093
0.65785896	56839.01414	95.00112	0.10543193	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01946157	0.50307692	0.445578108	4.554421892
0.65787053	56840.01379	96.000768	0.10498045	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01946562	0.50307692	0.435928553	4.564071447
0.65788212	56841.01517	97.002144	0.1057201	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01946562	0.50307692	0.451848594	4.548151406
0.65789371	56842.01654	98.00352	0.10554021	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01946562	0.50307692	0.447923975	4.552076025
0.65790525	56843.0136	99.000576	0.10500827	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01946562	0.50307692	0.436517066	4.563482934
0.65791682	56844.01325	100.000224	0.10513425	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01946562	0.50307692	0.439192047	4.560807953
0.65792841	56845.01462	101.0016	0.10590602	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01911894	0.50307692	0.455940908	4.544059092
0.65793998	56846.01427	102.001248	0.10540309	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01911894	0.50307692	0.44495537	4.55504463
0.65795155	56847.01392	103.000896	0.10581914	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01911894	0.50307692	0.454023986	4.545976014
0.65796312	56848.01357	104.000544	0.10561007	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01911894	0.50307692	0.44944403	4.55055597
0.65797471	56849.01494	105.00192	0.10562801	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01911894	0.50307692	0.449835211	4.550164789
0.65798628	56850.01459	106.001568	0.10442851	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01911894	0.50307692	0.424415288	4.575584712
0.65799785	56851.01424	107.001216	0.10568202	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01903548	0.50307692	0.451014953	4.548985047
