Manual Coagulant Pump Control (rpm),Fluoride Pump Control (),Turbidity (),Capture Velocity Pump (),Capture V Flow mL/s (mL/s)
32.51851852,8.34074074,0.07942915,1.38276923,0.08988
32.51851852,8.34074074,0.07942915,1.38276923,0.08988
32.51851852,8.34074074,0.07942915,1.38276923,0.08988
32.51851852,8.34074074,0.07676031,1.38276923,0.08988
32.51851852,8.34074074,0.07676031,1.38276923,0.08988
32.51851852,8.34074074,0.07676031,1.38276923,0.08988
32.51851852,8.34074074,0.07676031,1.38276923,0.08988
32.51851852,8.34074074,0.07676031,1.38276923,0.08988
32.51851852,8.34074074,0.07489026,1.38276923,0.08988
32.51851852,8.34074074,0.07489026,1.38276923,0.08988
32.51851852,8.34074074,0.07489026,1.38276923,0.08988
32.51851852,8.34074074,0.07489026,1.38276923,0.08988
32.51851852,8.34074074,0.07489026,1.38276923,0.08988
32.51851852,8.34074074,0.07915646,1.38276923,0.08988
32.51851852,8.34074074,0.07915646,1.38276923,0.08988
32.51851852,8.34074074,0.07915646,1.38276923,0.08988
32.51851852,8.34074074,0.07915646,1.38276923,0.08988
32.51851852,8.34074074,0.07915646,1.38276923,0.08988
32.51851852,8.34074074,0.08020309,1.38276923,0.08988
32.51851852,8.34074074,0.08020309,1.38276923,0.08988
32.51851852,8.34074074,0.08020309,1.38276923,0.08988
32.51851852,8.34074074,0.08020309,1.38276923,0.08988
32.51851852,8.34074074,0.08020309,1.38276923,0.08988
32.51851852,8.34074074,0.08822864,1.38276923,0.08988
32.51851852,8.34074074,0.08822864,1.38276923,0.08988
32.51851852,8.34074074,0.08822864,1.38276923,0.08988
32.51851852,8.34074074,0.08822864,1.38276923,0.08988
32.51851852,8.34074074,0.08822864,1.38276923,0.08988
32.51851852,8.34074074,0.09328759,1.38276923,0.08988
32.51851852,8.34074074,0.09328759,1.38276923,0.08988
32.51851852,8.34074074,0.09328759,1.38276923,0.08988
32.51851852,8.34074074,0.09328759,1.38276923,0.08988
32.51851852,8.34074074,0.09328759,1.38276923,0.08988
32.51851852,8.34074074,0.09102808,1.38276923,0.08988
32.51851852,8.34074074,0.09102808,1.38276923,0.08988
32.51851852,8.34074074,0.09102808,1.38276923,0.08988
32.51851852,8.34074074,0.09102808,1.38276923,0.08988
32.51851852,8.34074074,0.09102808,1.38276923,0.08988
32.51851852,8.34074074,0.0929607,1.38276923,0.08988
32.51851852,8.34074074,0.0929607,1.38276923,0.08988
32.51851852,8.34074074,0.0929607,1.38276923,0.08988
32.51851852,8.34074074,0.0929607,1.38276923,0.08988
32.51851852,8.34074074,0.0929607,1.38276923,0.08988
32.51851852,8.34074074,0.08997043,1.38276923,0.08988
32.51851852,8.34074074,0.08997043,1.38276923,0.08988
32.51851852,8.34074074,0.08997043,1.38276923,0.08988
32.51851852,8.34074074,0.08997043,1.38276923,0.08988
32.51851852,8.34074074,0.08997043,1.38276923,0.08988
32.51851852,8.34074074,0.08563349,1.38276923,0.08988
32.51851852,8.34074074,0.08563349,1.38276923,0.08988
32.51851852,8.34074074,0.08563349,1.38276923,0.08988
32.51851852,8.34074074,0.08563349,1.38276923,0.08988
32.51851852,8.34074074,0.08563349,1.38276923,0.08988
32.51851852,8.34074074,0.08865032,1.38276923,0.08988
32.51851852,8.34074074,0.08865032,1.38276923,0.08988
32.51851852,8.34074074,0.08865032,1.38276923,0.08988
32.51851852,8.34074074,0.08865032,1.38276923,0.08988
32.51851852,8.34074074,0.08865032,1.38276923,0.08988
32.51851852,8.34074074,0.09316919,1.38276923,0.08988
32.51851852,8.34074074,0.09316919,1.38276923,0.08988
32.51851852,8.34074074,0.09316919,1.38276923,0.08988
32.51851852,8.34074074,0.09316919,1.38276923,0.08988
32.51851852,8.34074074,0.09316919,1.38276923,0.08988
32.51851852,8.34074074,0.09696792,1.38276923,0.08988
32.51851852,8.34074074,0.09696792,1.38276923,0.08988
32.51851852,8.34074074,0.09696792,1.38276923,0.08988
32.51851852,8.34074074,0.09696792,1.38276923,0.08988
32.51851852,8.34074074,0.09696792,1.38276923,0.08988
32.51851852,8.34074074,0.0949623,1.38276923,0.08988
32.51851852,8.34074074,0.0949623,1.38276923,0.08988
32.51851852,8.34074074,0.0949623,1.38276923,0.08988
32.51851852,8.34074074,0.0949623,1.38276923,0.08988
32.51851852,8.34074074,0.0949623,1.38276923,0.08988
32.51851852,8.34074074,0.08993918,1.38276923,0.08988
32.51851852,8.34074074,0.08993918,1.38276923,0.08988
