Day fraction since midnight on 3/7/2020	Effluent Fluoride (volts)	Influent Fluoride (volts)	Turbidity ()	Water flow (mL/s)	Clay flow (mL/s)	Coag pump control ()	Fluoride pump control ()	water pump control (rpm)	Clay pump control ()
0.41250447	0.08350030	0.37565085	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41256233	0.08350232	0.37559071	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41262020	0.08350331	0.37548783	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41267808	0.08351198	0.37540159	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41273596	0.08351984	0.37530443	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41279382	0.08352265	0.37521213	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41285168	0.08351396	0.37515506	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41290955	0.08351810	0.37506604	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41296742	0.08350938	0.37497833	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41302529	0.08352651	0.37490070	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41308318	0.08352482	0.37481263	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41314105	0.08351599	0.37471622	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41319891	0.08352889	0.37462747	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41325677	0.08352922	0.37455302	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41331466	0.08351030	0.37449294	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41337253	0.08351976	0.37437782	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41343039	0.08351998	0.37428769	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41348825	0.08352581	0.37420824	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41354613	0.08351730	0.37410718	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41360400	0.08352976	0.37403002	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41366186	0.08352534	0.37394574	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41371975	0.08352648	0.37386307	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41377762	0.08352182	0.37379143	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41383548	0.08351641	0.37369063	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41389336	0.08352513	0.37359667	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41395123	0.08353658	0.37351349	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41400909	0.08352305	0.37341636	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41406697	0.08351794	0.37332916	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41412484	0.08353405	0.37323961	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41418270	0.08353174	0.37316281	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41424057	0.08354107	0.37308165	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41429845	0.08352641	0.37298217	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41435632	0.08354096	0.37290835	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41441418	0.08354480	0.37280583	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41447205	0.08355128	0.37272137	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41452992	0.08354010	0.37263307	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41458780	0.08354383	0.37255314	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41464567	0.08354938	0.37246451	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41470354	0.08354348	0.37238210	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41476142	0.08355227	0.37230036	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41481928	0.08353908	0.37220943	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
