Capture V Flow mL/s (mL/s),Turbidity (),Fluoride Probe (volts),Fluoride Conc,,Average Turbidity,0.1663464119
0.19120095,0.03170966,0.10995686,1.924480275,,,
0.19120095,0.02465432,0.10888585,2.030023238,,,
0.19120095,0.02465432,0.10919282,1.999194543,,,
0.19120095,0.02465432,0.10956758,1.962191731,,,
0.19120095,0.02465432,0.10935889,1.982711906,,,
0.19120095,0.02465432,0.10932832,1.985735775,,,
0.19120095,0.02127672,0.10977066,1.942427085,,,
0.19120095,0.02127672,0.10877571,2.041199996,,,
0.19120095,0.02127672,0.10913694,2.004771451,,,
0.19120095,0.02127672,0.10915427,2.003040228,,,
0.19120095,0.02127672,0.10929627,1.988910992,,,
0.19120095,0.02489812,0.10881132,2.037579659,,,
0.19120095,0.02489812,0.10953061,1.965811393,,,
0.19120095,0.02489812,0.10934563,1.984022969,,,
0.19120095,0.02489812,0.1097983,1.939752475,,,
0.19120095,0.02489812,0.10958698,1.960294981,,,
0.19120095,0.02089866,0.10943715,1.974991689,,,
0.19120095,0.02089866,0.10972121,1.947221365,,,
0.19120095,0.02089866,0.1097963,1.939945883,,,
0.19120095,0.02089866,0.10916471,2.001998021,,,
0.19120095,0.02089866,0.11040833,1.881650947,,,
0.19120095,0.01834799,0.1092509,1.993414514,,,
0.19120095,0.01834799,0.10993061,1.927000295,,,
0.19120095,0.01834799,0.10943481,1.97522209,,,
0.19120095,0.01834799,0.10802425,2.119116306,,,
0.19120095,0.01834799,0.11014035,1.906956889,,,
0.19120095,0.01815325,0.10938157,1.980471462,,,
0.19120095,0.01815325,0.10832711,2.087362244,,,
0.19120095,0.01815325,0.1106182,1.862067169,,,
0.19120095,0.01815325,0.10934275,1.984307839,,,
0.19120095,0.01815325,0.11043559,1.879095618,,,
0.19120095,0.02570791,0.10970341,1.948950007,,,
0.19120095,0.02570791,0.10934079,1.984501733,,,
0.19120095,0.02570791,0.11020144,1.901158241,,,
0.19120095,0.02570791,0.10986814,1.93301074,,,
0.19120095,0.02570791,0.10970734,1.948568214,,,
0.19120095,0.02207085,0.10969239,1.95002098,,,
0.19120095,0.02207085,0.10918061,2.000411793,,,
0.19120095,0.02207085,0.11005242,1.915334248,,,
0.19120095,0.02207085,0.10898439,2.020075502,,,
0.19120095,0.02207085,0.11021758,1.899629182,,,
0.19120095,0.03843026,0.10850262,2.069178718,,,
0.19120095,0.03843026,0.10989522,1.930402985,,,
0.19120095,0.03843026,0.10944854,1.973870593,,,
0.19120095,0.03843026,0.10934142,1.984439408,,,
0.19120095,0.03843026,0.10923366,1.995128465,,,
0.19120095,0.02871723,0.10936412,1.982195036,,,
0.19120095,0.02871723,0.10995624,1.924539758,,,
0.19120095,0.02871723,0.10890927,2.027654531,,,
0.19120095,0.02871723,0.10955336,1.963583195,,,
0.19120095,0.02871723,0.11001693,1.918725903,,,
0.19120095,0.02310603,0.10907675,2.010795907,,,
0.19120095,0.02310603,0.10868339,2.050615814,,,
