Day fraction since midnight on 11/13/2019	Fluoride Probe (volts)	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Capture Velocity Pump ()	Capture V Flow mL/s (mL/s)
0.55478909	0.08572397	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55480065	0.08656961	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55481192	0.08670441	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55482380	0.08638554	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55483538	0.08594132	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55484695	0.09030426	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55485852	0.19579914	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55487011	0.14521416	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55488168	0.10443539	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55489325	0.09346098	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55490484	0.08283804	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55491640	0.07636880	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55492798	0.07071059	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55493957	0.06512892	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55495112	0.08205133	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55496269	0.07978754	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55497428	0.08574966	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55498585	0.08195290	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55499741	0.07898239	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55500900	0.07307676	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55502057	0.08355180	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55503214	0.09260163	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55504371	0.09912673	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55505530	0.12619026	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55506687	0.13142328	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55507844	0.14867064	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55509003	0.15811686	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
