Day fraction since midnight on 11/2/2019	Fluoride Probe (volts)	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()
0.40166404	0.48260123	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05147158
0.40167560	0.46290746	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05147158
0.40168719	0.49980554	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.12511072
0.40169876	0.51977128	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.12511072
0.40171033	0.49233681	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.12511072
0.40172192	0.49121153	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.12511072
0.40173349	0.49546206	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.12511072
0.40174506	0.50055289	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.10893146
0.40175663	0.50369799	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.10893146
0.40176820	0.50607735	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.10893146
0.40177979	0.50660062	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.10893146
0.40179136	0.50930065	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.10893146
0.40180293	0.51076627	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06979583
0.40181449	0.50957757	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06979583
0.40182608	0.51091248	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06979583
0.40183765	0.51279640	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06979583
0.40184922	0.51174098	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06979583
0.40186081	0.51427013	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04164018
0.40187238	0.51348102	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04164018
0.40188394	0.51443440	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04164018
0.40189552	0.51291126	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04164018
0.40190709	0.50954211	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04164018
0.40191868	0.50870991	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02376120
0.40193024	0.51049358	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02376120
0.40194181	0.51272053	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02376120
0.40195340	0.51363355	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02376120
0.40196484	0.51054078	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02376120
0.40197610	0.51225942	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02653467
0.40198737	0.51111591	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02653467
0.40199864	0.50973284	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02653467
0.40200992	0.51292175	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02653467
0.40202119	0.51208323	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02653467
0.40203248	0.51147270	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09922859
0.40204372	0.50859964	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09922859
0.40205499	0.50881523	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09922859
0.40206628	0.50925994	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09922859
0.40207754	0.50962365	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09922859
0.40208881	0.50860995	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08660105
0.40210007	0.50656939	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08660105
0.40211136	0.50782412	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08660105
0.40212262	0.50751215	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08660105
0.40213389	0.50655252	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08660105
0.40214516	0.50626832	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06002428
0.40215642	0.50566763	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06002428
0.40216771	0.50529051	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06002428
0.40217897	0.50383884	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06002428
0.40219024	0.50237471	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06002428
0.40220153	0.50181353	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03575733
0.40221279	0.50092524	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03575733
0.40222406	0.50021440	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03575733
0.40223533	0.49805215	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03575733
0.40224659	0.49690250	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03575733
0.40225788	0.49584422	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02444273
0.40226914	0.49679133	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02444273
0.40228043	0.49549323	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02444273
0.40229168	0.49499005	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02444273
0.40230296	0.49336815	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02444273
0.40231423	0.49411589	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02444273
0.40232549	0.49125993	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03322306
0.40233676	0.49112257	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03322306
0.40234805	0.49065629	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03322306
0.40235931	0.48932990	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03322306
0.40237057	0.48726422	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03322306
0.40238186	0.48653504	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09605811
0.40239312	0.48729306	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09605811
0.40240439	0.48466101	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09605811
0.40241566	0.48390210	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09605811
0.40242692	0.48302487	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09605811
0.40243821	0.48185086	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09022678
0.40244947	0.48084182	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09022678
0.40246074	0.48060259	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09022678
0.40247203	0.47882441	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09022678
0.40248329	0.47838706	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09022678
0.40249456	0.47716814	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05509084
0.40250582	0.47524095	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05509084
0.40251711	0.47627997	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05509084
0.40252837	0.47462156	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05509084
0.40253964	0.47388881	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05509084
0.40255090	0.47207183	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03426926
0.40256219	0.47107267	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03426926
0.40257345	0.46943095	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03426926
0.40258472	0.46930757	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03426926
0.40259598	0.46966445	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03426926
0.40260727	0.46782669	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02079400
0.40261853	0.46763146	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02079400
0.40262980	0.46773079	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02079400
0.40264109	0.46490678	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02079400
0.40265235	0.46370822	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02079400
0.40266362	0.46160832	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02079400
0.40267488	0.46101412	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04385746
0.40268617	0.46111709	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04385746
0.40269744	0.45848837	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04385746
0.40270870	0.45966050	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04385746
0.40271996	0.45704108	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04385746
0.40273125	0.45572647	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.13635154
0.40274252	0.45467955	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.13635154
0.40275378	0.45429483	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.13635154
0.40276505	0.45233506	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.13635154
0.40277633	0.45170936	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.13635154
0.40278760	0.45127097	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.10912349
0.40279887	0.44897875	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.10912349
0.40281016	0.45098752	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.10912349
0.40282140	0.45061114	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.10912349
0.40283267	0.44733149	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.10912349
0.40284396	0.44805363	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06783289
0.40285522	0.44600719	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06783289
0.40286648	0.44639838	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06783289
0.40287777	0.44412833	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06783289
0.40288903	0.44305632	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06783289
0.40290030	0.44236273	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04321121
0.40291159	0.44237602	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04321121
0.40292285	0.43987796	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04321121
0.40293412	0.43866959	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04321121
0.40294538	0.43643984	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04321121
0.40295667	0.43691814	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03872131
