Day fraction since midnight on 10/6/2019	Water Pump Control (rpm)	Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()
0.43728910	0.00000000	0.00000000	0.00000000	-999.00000000
0.43730067	0.00000000	0.00000000	0.00000000	-999.00000000
0.43731224	0.00000000	0.00000000	0.00000000	-999.00000000
0.43732383	0.00000000	0.00000000	0.00000000	-999.00000000
0.43733540	0.00000000	0.00000000	0.00000000	-999.00000000
0.43734697	0.00000000	0.00000000	0.00000000	-999.00000000
0.43735856	0.00000000	0.00000000	0.00000000	-999.00000000
0.43737011	0.00000000	0.00000000	0.00000000	-999.00000000
0.43738170	0.00000000	0.00000000	0.00000000	-999.00000000
0.43739327	0.00000000	0.00000000	0.00000000	-999.00000000
0.43740479	0.00000000	0.00000000	0.00000000	-999.00000000
0.43741628	0.00000000	0.00000000	0.00000000	-999.00000000
0.43742778	0.00000000	0.00000000	0.00000000	-999.00000000
0.43743927	0.00000000	0.00000000	0.00000000	-999.00000000
0.43745077	0.00000000	0.00000000	0.00000000	-999.00000000
0.43746227	0.00000000	0.00000000	0.00000000	-999.00000000
0.43747376	0.00000000	0.00000000	0.00000000	-999.00000000
0.43748525	0.00000000	0.00000000	0.00000000	-999.00000000
0.43749675	0.00000000	0.00000000	0.00000000	-999.00000000
0.43750826	0.00000000	0.00000000	0.00000000	-999.00000000
0.43751975	0.00000000	0.00000000	0.00000000	-999.00000000
0.43753124	0.00000000	0.00000000	0.00000000	-999.00000000
0.43754273	0.00000000	0.00000000	0.00000000	-999.00000000
0.43755423	0.00000000	0.00000000	0.00000000	-999.00000000
0.43756574	0.00000000	0.00000000	0.00000000	-999.00000000
0.43757723	0.00000000	0.00000000	0.00000000	-999.00000000
0.43758872	0.00000000	0.00000000	0.00000000	-999.00000000
0.43760021	0.00000000	0.00000000	0.00000000	-999.00000000
0.43761171	0.00000000	0.00000000	0.00000000	-999.00000000
0.43762322	0.00000000	0.00000000	0.00000000	-999.00000000
0.43763471	0.00000000	0.00000000	0.00000000	-999.00000000
0.43764623	0.00000000	0.00000000	0.00000000	-999.00000000
0.43765769	0.00000000	0.00000000	0.00000000	-999.00000000
0.43766919	0.00000000	0.00000000	0.00000000	-999.00000000
0.43768070	0.00000000	0.00000000	0.00000000	-999.00000000
0.43769220	0.00000000	0.00000000	0.00000000	-999.00000000
0.43770368	0.00000000	0.00000000	0.00000000	-999.00000000
0.43771518	0.00000000	0.00000000	0.00000000	-999.00000000
0.43772667	0.00000000	0.00000000	0.00000000	-999.00000000
0.43773816	0.00000000	0.00000000	0.00000000	-999.00000000
0.43774968	0.00000000	0.00000000	0.00000000	-999.00000000
0.43776117	0.00000000	0.00000000	0.00000000	-999.00000000
0.43777266	0.00000000	0.00000000	0.00000000	-999.00000000
0.43778415	0.00000000	0.00000000	0.00000000	-999.00000000
0.43779566	0.00000000	0.00000000	0.00000000	-999.00000000
0.43780715	0.00000000	0.00000000	0.00000000	-999.00000000
0.43781866	0.00000000	0.00000000	0.00000000	-999.00000000
0.43783013	0.00000000	0.00000000	0.00000000	-999.00000000
0.43784163	0.00000000	0.00000000	0.00000000	-999.00000000
0.43785314	0.00000000	0.00000000	0.00000000	-999.00000000
0.43786463	0.00000000	0.00000000	0.00000000	-999.00000000
0.43787612	0.00000000	0.00000000	0.00000000	-999.00000000
0.43788761	0.00000000	0.00000000	0.00000000	-999.00000000
0.43789911	0.00000000	0.00000000	0.00000000	-999.00000000
0.43791062	0.00000000	0.00000000	0.00000000	-999.00000000
0.43792211	0.00000000	0.00000000	0.00000000	-999.00000000
0.43793360	0.00000000	0.00000000	0.00000000	-999.00000000
0.43794509	0.00000000	0.00000000	0.00000000	-999.00000000
0.43795661	0.00000000	0.00000000	0.00000000	-999.00000000
0.43796810	0.00000000	0.00000000	0.00000000	-999.00000000
0.43797959	0.00000000	0.00000000	0.00000000	-999.00000000
0.43799108	0.00000000	0.00000000	0.00000000	-999.00000000
0.43800257	0.00000000	0.00000000	0.00000000	-999.00000000
0.43801409	0.00000000	0.00000000	0.00000000	-999.00000000
0.43802558	0.00000000	0.00000000	0.00000000	-999.00000000
0.43803707	0.00000000	0.00000000	0.00000000	-999.00000000
0.43804856	0.00000000	0.00000000	0.00000000	-999.00000000
0.43806006	0.00000000	0.00000000	0.00000000	-999.00000000
0.43807155	0.00000000	0.00000000	0.00000000	-999.00000000
0.43808306	0.00000000	0.00000000	0.00000000	-999.00000000
0.43809455	0.00000000	0.00000000	0.00000000	-999.00000000
0.43810604	0.00000000	0.00000000	0.00000000	-999.00000000
0.43811753	0.00000000	0.00000000	0.00000000	-999.00000000
0.43812905	0.00000000	0.00000000	0.00000000	-999.00000000
0.43814054	0.00000000	0.00000000	0.00000000	-999.00000000
0.43815205	0.00000000	0.00000000	0.00000000	-999.00000000
0.43816354	0.00000000	0.00000000	0.00000000	-999.00000000
0.43817503	0.00000000	0.00000000	0.00000000	-999.00000000
0.43818652	0.00000000	0.00000000	0.00000000	-999.00000000
0.43819801	0.00000000	0.00000000	0.00000000	-999.00000000
0.43820952	0.00000000	0.00000000	0.00000000	-999.00000000
0.43822101	0.00000000	0.00000000	0.00000000	-999.00000000
0.43823250	0.00000000	0.00000000	0.00000000	-999.00000000
0.43824401	0.00000000	0.00000000	0.00000000	-999.00000000
0.43825550	0.00000000	0.00000000	0.00000000	-999.00000000
0.43826699	0.00000000	0.00000000	0.00000000	-999.00000000
0.43827849	0.00000000	0.00000000	0.00000000	-999.00000000
0.43828999	0.00000000	0.00000000	0.00000000	-999.00000000
0.43830148	0.00000000	0.00000000	0.00000000	-999.00000000
0.43831297	0.00000000	0.00000000	0.00000000	-999.00000000
0.43832448	0.00000000	0.00000000	0.00000000	-999.00000000
0.43833597	0.00000000	0.00000000	0.00000000	-999.00000000
0.43834747	0.00000000	0.00000000	0.00000000	-999.00000000
0.43835896	0.00000000	0.00000000	0.00000000	-999.00000000
0.43837045	0.00000000	0.00000000	0.00000000	-999.00000000
0.43838195	0.00000000	0.00000000	0.00000000	-999.00000000
0.43839344	0.00000000	0.00000000	0.00000000	-999.00000000
0.43840495	0.00000000	0.00000000	0.00000000	-999.00000000
0.43841644	0.00000000	0.00000000	0.00000000	-999.00000000
0.43842793	0.00000000	0.00000000	0.00000000	-999.00000000
0.43843942	0.00000000	0.00000000	0.00000000	-999.00000000
0.43845092	0.00000000	0.00000000	0.00000000	-999.00000000
0.43846243	0.00000000	0.00000000	0.00000000	-999.00000000
0.43847392	0.00000000	0.00000000	0.00000000	-999.00000000
0.43848542	0.00000000	0.00000000	0.00000000	-999.00000000
0.43849690	0.00000000	0.00000000	0.00000000	-999.00000000
0.43850842	0.00000000	0.00000000	0.00000000	-999.00000000
0.43851991	0.00000000	0.00000000	0.00000000	-999.00000000
0.43853140	0.00000000	0.00000000	0.00000000	-999.00000000
0.43854289	0.00000000	0.00000000	0.00000000	-999.00000000
0.43855439	0.00000000	0.00000000	0.00000000	-999.00000000
0.43856588	0.00000000	0.00000000	0.00000000	-999.00000000
0.43857740	0.00000000	0.00000000	0.00000000	-999.00000000
0.43858889	0.00000000	0.00000000	0.00000000	-999.00000000
0.43860038	0.00000000	0.00000000	0.00000000	-999.00000000
0.43861186	0.00000000	0.00000000	0.00000000	-999.00000000
0.43862338	0.00000000	0.00000000	0.00000000	-999.00000000
0.43863487	0.00000000	0.00000000	0.00000000	-999.00000000
0.43864636	0.00000000	0.00000000	0.00000000	-999.00000000
0.43865785	0.00000000	0.00000000	0.00000000	-999.00000000
0.43866935	0.00000000	0.00000000	0.00000000	-999.00000000
0.43868086	0.00000000	0.00000000	0.00000000	-999.00000000
0.43869236	0.00000000	0.00000000	0.00000000	-999.00000000
0.43870385	0.00000000	0.00000000	0.00000000	-999.00000000
0.43871534	0.00000000	0.00000000	0.00000000	-999.00000000
0.43872683	0.00000000	0.00000000	0.00000000	-999.00000000
0.43873834	0.00000000	0.00000000	0.00000000	-999.00000000
0.43874983	0.00000000	0.00000000	0.00000000	-999.00000000
0.43876135	0.00000000	0.00000000	0.00000000	-999.00000000
0.43877282	0.00000000	0.00000000	0.00000000	-999.00000000
0.43878433	0.00000000	0.00000000	0.00000000	-999.00000000
0.43879582	0.00000000	0.00000000	0.00000000	0.20654231
0.43880731	0.00000000	0.00000000	0.00000000	0.20916429
0.43881880	0.00000000	0.00000000	0.00000000	0.21400280
0.43883029	0.00000000	0.00000000	0.00000000	0.22553316
0.43884179	0.00000000	0.00000000	0.00000000	0.23632441
0.43885330	0.00000000	0.00000000	0.00000000	0.24506311
0.43886479	0.00000000	0.00000000	0.00000000	0.25306782
0.43887628	0.00000000	0.00000000	0.00000000	0.25915524
0.43888778	0.00000000	0.00000000	0.00000000	0.26345634
0.43889927	0.00000000	0.00000000	0.00000000	0.26831168
0.43891078	0.00000000	0.00000000	0.00000000	0.27220160
0.43892228	0.00000000	0.00000000	0.00000000	0.27527767
0.43893377	0.00000000	0.00000000	0.00000000	0.27910712
0.43894527	0.00000000	0.00000000	0.00000000	0.28252366
0.43895676	0.00000000	0.00000000	0.00000000	0.28466997
0.43896825	0.00000000	0.00000000	0.00000000	0.28600535
0.43897977	0.00000000	0.00000000	0.00000000	0.28720134
0.43899126	0.00000000	0.00000000	0.00000000	0.28813547
0.43900275	0.00000000	0.00000000	0.00000000	0.28974876
0.43901423	0.00000000	0.00000000	0.00000000	0.29152200
0.43902573	0.00000000	0.00000000	0.00000000	0.29204956
