Day fraction since midnight on 11/10/2019	Fluoride Probe (volts)	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Capture Velocity Pump ()	Capture V Flow mL/s (mL/s)
0.39829607	0.09467041	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39830764	0.09388121	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39831921	0.09300892	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39833080	0.09248764	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39834237	0.09222720	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39835394	0.09234294	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39836551	0.09204331	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39837710	0.09222616	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39838867	0.09282532	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39840024	0.09285239	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39841181	0.09319612	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39842338	0.09272131	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39843497	0.09199639	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39844654	0.09175619	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39845811	0.09161700	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39846970	0.09152127	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39848127	0.09156723	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39849284	0.09152106	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39850441	0.09138266	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39851596	0.09130001	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39852753	0.09115996	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39853908	0.09110682	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39855062	0.09109502	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39856217	0.09111534	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39857371	0.09113686	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39858526	0.09111289	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39859682	0.09107739	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39860836	0.09106700	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39861991	0.09104358	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39863147	0.09098281	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39864300	0.09094760	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39865456	0.09092973	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39866612	0.09092961	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39867767	0.09091069	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39868921	0.09086564	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39870075	0.09083563	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39871231	0.09083704	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39872387	0.09079080	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39873541	0.09080512	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
